Actors;Task Name;Fields;CR;TD;Lostness;SUS;Polarity;Class
Student;Task-1;Ac;100;1;0;62,13;Negative;-1
Student;Task-1;CS;100;2;0,491561444;62,13;Negative;-1
Student;Task-1;CS;100;3;0,433333333;62,13;Negative;-1
Student;Task-1;Ac;100;2;0;62,13;Negative;-1
Student;Task-1;Mn;100;2;0;62,13;Negative;-1
Student;Task-1;En;100;2;0;62,13;Negative;-1
Student;Task-1;Ac;100;1;0;62,13;Negative;-1
Student;Task-1;Ac;100;1;0;62,13;Neutral;0
Student;Task-1;En;100;1;0;62,13;Neutral;0
Student;Task-1;Mn;100;2;0;62,13;Positive;1
Lecturer;Task-1;Mn;100;2;0;62,13;Neutral;0
Student;Task-1;Mn;100;1;0;62,13;Negative;-1
Student;Task-1;Ac;100;2;0;62,13;Positive;1
Student;Task-1;CS;100;4;0,548292805;62,13;Negative;-1
Student;Task-1;Ac;100;1;0;62,13;Neutral;0
Student;Task-1;Ac;100;1;0;62,13;Neutral;0
Student;Task-1;Mn;100;1;0;62,13;Neutral;0
Student;Task-1;Ac;100;1;0;62,13;Negative;-1
Student;Task-1;Mn;100;1;0;62,13;Negative;-1
Student;Task-1;Ac;100;1;0;62,13;Neutral;0
Student;Task-1;Ac;100;2;0;62,13;Positive;1
Student;Task-1;Ac;100;1;0;62,13;Neutral;0
Student;Task-1;Ac;100;1;0;62,13;Neutral;0
Student;Task-1;Mn;100;1;0;62,13;Neutral;0
Student;Task-1;Ac;100;1;0;62,13;Neutral;0
Student;Task-1;CS;100;5;0;62,13;Negative;-1
Student;Task-1;CS;100;2;0;62,13;Positive;1
Student;Task-1;CS;100;3;0;62,13;Negative;-1
Student;Task-1;Mn;100;2;0;62,13;Positive;1
Student;Task-1;Mn;100;1;0;62,13;Negative;-1
Student;Task-1;Ac;100;2;0;62,13;Negative;-1
Student;Task-1;Mn;100;2;0;62,13;Negative;-1
Student;Task-1;En;100;2;0;62,13;Negative;-1
Student;Task-1;CS;100;2;0;62,13;Negative;-1
Student;Task-1;CS;100;2;0;62,13;Negative;-1
Lecturer;Task-1;Ac;100;4;0;62,13;Negative;-1
Student;Task-1;CS;100;4;0;62,13;Negative;-1
Student;Task-1;CS;100;4;0;62,13;Negative;-1
Student;Task-1;Mn;100;2;0;62,13;Positive;1
Student;Task-1;Mn;100;1;0;62,13;Negative;-1
Student;Task-1;CS;100;3;0;62,13;Negative;-1
Student;Task-1;Ac;100;2;0;62,13;Positive;1
Student;Task-1;Mn;100;2;0;62,13;Positive;1
Student;Task-1;Ac;100;1;0;62,13;Neutral;0
Student;Task-1;Ac;100;4;0;62,13;Negative;-1
Student;Task-1;En;100;4;0;62,13;Negative;-1
Student;Task-1;Mn;100;2;0;62,13;Positive;1
Student;Task-1;Ac;100;1;0;62,13;Neutral;0
Student;Task-1;Mn;100;1;0;62,13;Neutral;0
Student;Task-1;CS;100;2;0;62,13;Negative;-1
Student;Task-1;Mn;100;2;0;62,13;Negative;-1
Student;Task-1;Mn;100;2;0;62,13;Negative;-1
Student;Task-1;Ac;100;2;0;62,13;Positive;1
Student;Task-1;CS;100;2;0;62,13;Positive;1
Student;Task-1;Ac;100;1;0;62,13;Neutral;0
Student;Task-1;Ac;100;2;0;62,13;Positive;1
Student;Task-1;CS;100;2;0;62,13;Positive;1
Student;Task-1;Mn;100;2;0;62,13;Positive;1
Student;Task-1;Mn;100;2;0;62,13;Positive;1
Student;Task-1;Mn;100;2;0;62,13;Positive;1
Student;Task-1;Ac;100;1;0;62,13;Negative;-1
Student;Task-1;Ac;100;1;0;62,13;Neutral;0
Student;Task-1;Mn;100;1;0;62,13;Neutral;0
Student;Task-1;Ac;100;1;0;62,13;Negative;-1
Student;Task-1;Ac;100;1;0;62,13;Neutral;0
Student;Task-1;Mn;100;1;0;62,13;Neutral;0
Student;Task-1;Ac;100;2;0;62,13;Positive;1
Student;Task-1;CS;100;2;0;62,13;Positive;1
Student;Task-1;Ac;100;1;0;62,13;Neutral;0
Student;Task-1;CS;100;2;0;62,13;Negative;-1
Lecturer;Task-1;Mn;100;3;0;62,13;Neutral;0
Student;Task-1;Mn;100;2;0;62,13;Positive;1
Lecturer;Task-1;En;92,31;2;0,5;62,13;Positive;1
